Course_Coursenum,Course_Coursetitle,Course_Instructor,Course_Day,Course_Time,Course_Location
ACM 255,Cinema & Digital Media,K Fukunishi,TR,0900-1015a,BUSAD C101
ACM 255,Cinema & Digital Media,T Sanga,F,0900-1145a,WEB 203
ACM 310,"Cinematic Narrative Production
Restriction: Major",C Wang,R,0130-0530p,ARCH 101A
ACM 312,"Cinematography
Restriction: Major",A Misawa,R,0430-0715p,SAKAM D101
ACM 315,"Narrative Game Design
Restriction: Major",D Boulos,W,0300-0545p,KELL 204
ACM 350,"Screenwriting
Restriction: Major",J Moffett,M,0130-0420p,GRG 214
ACM 352,Screening Asian Americans,B Murakami,MWF,1130-1220p,MOORE 119
ACM 355,Oral Tradition to Screenplay,V Hereniko,T,0130-0415p,ARCH 101A
ACM 360,Indigenous Aesthetics,V Hereniko,W,0130-0415p,ARCH 101A
ACM 372,"Editing
Restriction: Major",G Elmore,M,0430-0715p,KELL 204
ACM 375,"Directing the Camera
Restriction: Major",J Moffett,W,0130-0415p,SAKAM C102
ACM 380,Genre/Narrative Theory,C Wang,F,0130-0420p,CR 105
ACM 410,"Advanced Cinematic Production
Restriction: Major",A Misawa,T,0430-0715p,SAKAM D101
ACM 420,"Animation Production II
Restriction: Major",L Margulies,T,0130-0415p,KELL 204
ACC 201,Intro to Financial Accounting,C Kaiama,TR,0900-1015a,CR 115
ACC 201,Intro to Financial Accounting,C Kaiama,TR,1030-1145a,CR 115
ACC 201,Intro to Financial Accounting,B Jung,TR,0130-0245p,CR 115
ACC 201,Intro to Financial Accounting,B Jung,TR,0300-0415p,BUSAD A102
ACC 201,Intro to Financial Accounting,D Yang,WF,0900-1015a,CR 115
ACC 201,Intro to Financial Accounting,D Yang,WF,1030-1145a,CR 115
ACC 202,Intro to Management Accounting,M Mitsuyasu,TR,0900-1015a,KUY 209
ACC 202,Intro to Management Accounting,M Mitsuyasu,TR,1030-1145a,KUY 209
ACC 202,Intro to Management Accounting,L Guan,WF,1200-0115p,CR 115
ACC 202,Intro to Management Accounting,L Guan,WF,0130-0245p,CR 115
ACC 321,"Intermediate Financial Acc I
Restriction: College",C Kaiama,WF,0900-1015a,BUSAD G103
ACC 321,"Intermediate Financial Acc I
Restriction: College",C Kaiama,WF,1030-1145a,BUSAD G103
ACC 323,"Intermediate Financial Acc II
Restriction: College",M Woollen,WF,1030-1145a,BUSAD D201
ACC 323,"Intermediate Financial Acc II
Restriction: College",M Woollen,WF,1200-0115p,BUSAD D201
ACC 395,"Accounting Internship
Restriction: Instructor Approval",R Varley,TBA,TBA,TBA TBA
ACC 401,"Federal Individl Income Taxatn
Restriction: College",M Woollen,TR,1030-1145a,BUSAD C101
ACC 401,"Federal Individl Income Taxatn
Restriction: College",M Woollen,TR,1200-0115p,BUSAD C101
ACC 409,"Accounting Information Systems
Restriction: College",M Sharifi,TR,1200-0115p,BUSAD D204
ACC 409,"Accounting Information Systems
Restriction: College",M Sharifi,TR,0130-0245p,BUSAD D103
ACC 413,"Law for the Accountant
Restriction: College",D Seabolt,F,0600-0845p,BUSAD D204
ACC 415,"Advanced Financial Accounting
Restriction: College",J Teruya,W,0600-0845p,BUSAD D203
ACC 418,"Auditing
Restriction: College",J Zhou,M,0600-0845p,BUSAD E204
ACC 418,"Auditing
Restriction: College",G Nishikawa,T,0600-0845p,BUSAD E204
ACC 460B,"Acc Capstone: Managerial
Restriction: Major",S Daniel,R,0900-1045a,BUSAD E204
ACC 460B,"Acc Capstone: Managerial
Restriction: Major",S Daniel,R,1100-1245p,BUSAD E204
ACC 460B,"Acc Capstone: Managerial
Restriction: Major",S Daniel,R,0100-0245p,BUSAD E204
